StatParam,codestatistic,codestation,Fv/Fm,Sigma,NPQ,NSV,rETR,RCII,JVPII-Sigma,aLHII,JVPII-aLHII
Meansurfacevalue,4,30,0.58,2.73,0.93,0.69,22.77,23.63,0.15,0.67,0.13
meanateuphoticdepth,5,30,0.58,2.76,0.48,0.7,3.39,23.17,0.22,0.67,0.19
meanvalinbottom,6,30,0.58,2.65,0.35,0.72,NA,27.64,NA,0.74,NA
dx/dZ(euphlay)x100,7,30,-0.57,5.69,84.39,-0.44,-423.72,-99.95,-27.39,-0.14,-24.69
meanoneuphoticlayer,1,38,0.37,3.86,1.36,2.29,13.98,28.29,2.46,2.19,2.34
Standerroroneuphlayer,2,38,0.15,1.16,3.63,0.54,9.4,2.79,0.93,0.38,1.97
CoefofVaroneuphotlayer,3,38,28.53,26.38,265.66,23.57,64.64,7.42,45.34,17.26,46.97
Meansurfacevalue,4,38,0.34,3.44,0.17,2.65,16.65,285.28,2.44,2.63,2.91
meanateuphoticdepth,5,38,0.36,4.64,0.29,2.73,9.17,275.2,2.15,2.26,1.94
meanvalinbottom,6,38,0.32,6.96,0.26,2.55,NA,318.28,NA,4.31,NA
dx/dZ(euphlay)x100,7,38,3.24,23.19,22.76,-111.47,-144,-1939.37,-81.79,38.55,-186.86
meanoneuphoticlayer,1,39,0.14,4.25,1.14,7.93,34.94,15.85,0.86,0.33,0.98
Standerroroneuphlayer,2,39,0.54,1.32,9.69,4.65,73.95,5.38,1.65,0.12,2.79
CoefofVaroneuphotlayer,3,39,38.69,31.14,853.65,58.83,211.68,33.92,186.62,33.48,283.97
Meansurfacevalue,4,39,0.83,3.22,3.42,12.43,143.98,13.59,2.95,0.33,4.55
meanateuphoticdepth,5,39,0.22,6.27,0.7,4.98,4,23.65,0.13,0.42,0.11
meanvalinbottom,6,39,0.22,6.23,0.13,3.56,0.21,31.28,0.18,0.63,0.13
dx/dZ(euphlay)x100,7,39,1.17,25.64,-22.8,-69.96,-1182.38,79.49,-23.78,0.74,-37.32
meanoneuphoticlayer,1,40,0.99,3.83,1.25,1.45,28.99,14.26,0.91,0.35,0.63
Standerroroneuphlayer,2,40,0.36,2,1.85,7.76,55.28,5.84,2.66,0.17,1.58
CoefofVaroneuphotlayer,3,40,36.13,28.93,865.38,74.22,19.66,4.93,226.17,48.15,255.14
Meansurfacevalue,4,40,0.51,2.79,3.22,17.5,145.35,12.36,4,0.5,5.77
meanateuphoticdepth,5,40,0.12,4.97,0.22,7.57,1.62,22.82,0.73,0.59,0.81
meanvalinbottom,6,40,0.12,5.64,0.2,8.37,0.11,42.46,0.32,1.34,0.12
dx/dZ(euphlay)x100,7,40,0.48,15.85,-21.86,-72.23,-146.29,76.11,-23.98,1.35,-41.43
meanoneuphoticlayer,1,41,0.3,4.33,0.74,2.79,29.61,13.18,0.24,0.12,0.26
Standerroroneuphlayer,2,41,0.42,0.74,4.21,1.28,49.12,4.63,0.38,0.53,0.45
CoefofVaroneuphotlayer,3,41,14.54,17.18,567.75,36.86,165.87,35.55,161.65,43.87,158.43
Meansurfacevalue,4,41,0.25,3.54,1.59,3.36,88.99,1.38,0.54,0.89,0.69
meanateuphoticdepth,5,41,0.31,5.18,0.39,2.42,2.97,18.54,0.53,0.19,0.47
meanvalinbottom,6,41,0.3,5.96,0.11,2.29,0.29,33.17,0.89,0.35,0.86
dx/dZ(euphlay)x100,7,41,1.14,28.72,-21.94,-16.36,-149.77,149.58,-8.52,1.73,-11.32
meanoneuphoticlayer,1,42,0.35,3.82,0.27,1.95,55.32,6.25,0.17,0.49,0.19
Standerroroneuphlayer,2,42,0.61,0.44,0.78,0.62,59.84,1.44,0.22,0.78,0.18
CoefofVaroneuphotlayer,3,42,17.59,11.63,283.68,31.95,18.17,23.84,122.52,19.16,94.86
Meansurfacevalue,4,42,0.34,3.43,0.71,2.45,154.81,5.59,0.44,0.39,0.48
meanateuphoticdepth,5,42,0.44,4.48,0.1,1.31,14.97,8.94,0.75,0.55,0.71
meanvalinbottom,6,42,0.44,4.48,0.1,1.31,14.97,8.94,0.75,0.55,0.71
dx/dZ(euphlay)x100,7,42,2.71,2.77,-11.79,-21.84,-2695.64,64.55,-6.97,0.32,-7.7
meanoneuphoticlayer,1,37,0.37,4.26,0.19,1.64,19.63,2.68,0.27,0.19,0.27
Standerroroneuphlayer,2,37,0.58,0.56,0.23,0.66,25.57,1.12,0.46,0.14,0.32
CoefofVaroneuphotlayer,3,37,15.6,13.17,122.43,4.38,13.26,37.79,149.42,54.33,115.74
Meansurfacevalue,4,37,0.34,3.67,0.21,2.27,76.96,2.14,0.18,0.15,0.93
meanateuphoticdepth,5,37,0.38,4.61,0.33,1.59,1.15,4.28,0.43,0.33,0.32
meanvalinbottom,6,37,0.34,4.78,0.52,2.33,0.27,7.97,0.11,0.89,0.14
dx/dZ(euphlay)x100,7,37,0.53,6.72,0.86,-4.88,-546.32,15.37,-0.75,0.13,-0.65
